K15_HK1 | HK1 - Năm 1 (2021-2022) | 2021-09-01 -> 2022-01-20
K16_HK1 | HK1 - Năm 1 (2022-2023) | 2022-09-01 -> 2023-01-20
K16_HK2 | HK2 - Năm 1 (2022-2023) | 2023-02-01 -> 2023-06-30
2023_HK1 | HK1 - Năm 1 (2023-2024) | 2023-09-01 -> 2024-01-20
K16_HK3 | HK3 - Năm 2 (2023-2024) | 2023-09-01 -> 2024-01-20
2024_HK2 | HK2 - Năm 1 (2023-2024) | 2024-02-01 -> 2024-06-30
K16_HK4 | HK4 - Năm 2 (2023-2024) | 2024-02-01 -> 2024-06-30
2024_HK1 | HK1 - Năm 1 (2024-2025) | 2024-09-01 -> 2025-01-20
HK1-2024-2025 | Học kỳ 1 - Năm học 2024-2025 | 2024-09-01 -> 2025-01-15
2024_HK3 | HK3 - Năm 2 (2024-2025) | 2024-09-01 -> 2025-01-20
K16_HK5 | HK5 - Năm 3 (2024-2025) | 2024-09-01 -> 2025-01-20
K16_HK6 | HK6 - Năm 3 (2024-2025) | 2025-02-01 -> 2025-06-30
2025_HK2 | HK2 - Năm 1 (2024-2025) | 2025-02-01 -> 2025-06-30
2025_HK4 | HK4 - Năm 2 (2024-2025) | 2025-02-01 -> 2025-06-30
2025_HK5 | HK5 - Năm 3 (2025-2026) | 2025-09-01 -> 2026-01-20
2025_HK1 | HK1 - Năm 1 (2025-2026) | 2025-09-01 -> 2026-01-20
K16_HK7 | HK7 - Năm 4 (2025-2026) | 2025-09-01 -> 2026-01-20
2025_HK3 | HK3 - Năm 2 (2025-2026) | 2025-09-01 -> 2026-01-20
K16_HK8 | HK8 - Năm 4 (2025-2026) | 2026-02-01 -> 2026-06-30
2026_HK2 | HK2 - Năm 1 (2025-2026) | 2026-02-01 -> 2026-06-30
2026_HK4 | HK4 - Năm 2 (2025-2026) | 2026-02-01 -> 2026-06-30
HK1_2026_2027 | Học kỳ 1 Năm học 2026-2027 | 2026-03-01 -> 2026-07-31
2026_HK6 | HK6 - Năm 3 (2025-2026) | 2026-03-02 -> 2026-07-31
HKH_2025_2026 | Học kỳ Hè Năm học 2025-2026 | 2026-06-01 -> 2026-08-31
2026_HK3 | HK3 - Năm 2 (2026-2027) | 2026-09-01 -> 2027-01-20
2026_HK1 | HK1 - Năm 1 (2026-2027) | 2026-09-01 -> 2027-01-20
2026_HK5 | HK5 - Năm 3 (2026-2027) | 2026-09-01 -> 2027-01-20
2026_HK7 | HK7 - Năm 4 (2026-2027) | 2026-09-01 -> 2027-01-20
2027_HK6 | HK6 - Năm 3 (2026-2027) | 2027-02-01 -> 2027-06-30
2027_HK8 | HK8 - Năm 4 (2026-2027) | 2027-02-01 -> 2027-06-30
2027_HK2 | HK2 - Năm 1 (2026-2027) | 2027-02-01 -> 2027-06-30
2027_HK4 | HK4 - Năm 2 (2026-2027) | 2027-02-01 -> 2027-06-30
HK2_2026_2027 | Học kỳ 2 Năm học 2026-2027 | 2027-02-15 -> 2027-06-30
2027_HK1 | HK1 - Năm 1 (2027-2028) | 2027-09-01 -> 2028-01-20
2027_HK7 | HK7 - Năm 4 (2027-2028) | 2027-09-01 -> 2028-01-20
2027_HK3 | HK3 - Năm 2 (2027-2028) | 2027-09-01 -> 2028-01-20
2027_HK5 | HK5 - Năm 3 (2027-2028) | 2027-09-01 -> 2028-01-20
2028_HK2 | HK2 - Năm 1 (2027-2028) | 2028-02-01 -> 2028-06-30
2028_HK8 | HK8 - Năm 4 (2027-2028) | 2028-02-01 -> 2028-06-30
2028_HK6 | HK6 - Năm 3 (2027-2028) | 2028-02-01 -> 2028-06-30
2028_HK4 | HK4 - Năm 2 (2027-2028) | 2028-02-01 -> 2028-06-30
2028_HK3 | HK3 - Năm 2 (2028-2029) | 2028-09-01 -> 2029-01-20
2028_HK7 | HK7 - Năm 4 (2028-2029) | 2028-09-01 -> 2029-01-20
2028_HK5 | HK5 - Năm 3 (2028-2029) | 2028-09-01 -> 2029-01-20
2028_HK1 | HK1 - Năm 1 (2028-2029) | 2028-09-01 -> 2029-01-20
2029_HK6 | HK6 - Năm 3 (2028-2029) | 2029-02-01 -> 2029-06-30
2029_HK2 | HK2 - Năm 1 (2028-2029) | 2029-02-01 -> 2029-06-30
2029_HK8 | HK8 - Năm 4 (2028-2029) | 2029-02-01 -> 2029-06-30
2029_HK4 | HK4 - Năm 2 (2028-2029) | 2029-02-01 -> 2029-06-30
K22_HKP1 | HK Phụ - Năm 1 (2028-2029) | 2029-07-01 -> 2029-08-15
2029_HK3 | HK3 - Năm 2 (2029-2030) | 2029-09-01 -> 2030-01-20
2029_HK7 | HK7 - Năm 4 (2029-2030) | 2029-09-01 -> 2030-01-20
2029_HK5 | HK5 - Năm 3 (2029-2030) | 2029-09-01 -> 2030-01-20
2030_HK4 | HK4 - Năm 2 (2029-2030) | 2030-02-01 -> 2030-06-30
2030_HK8 | HK8 - Năm 4 (2029-2030) | 2030-02-01 -> 2030-06-30
